category_id,category_name,playlist_id,playlist_name
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX2lUf1uE6Mre,Shisha Club
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX1zpUaiwr15A,Deutschrap Untergrund
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX59oR8I71XgB,word!
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX0D996ZXujBy,Taylor Swift | The Eras Tour Official Setlist
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX5KpP2LN299J,This Is Taylor Swift
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWWvvyNmW9V9a,teen beats
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DWZESE3fHLhmD,Frühlingsgefühle
0JQ5DAqbMKFEC4WFtoNRpw,Pop,37i9dQZF1DX3Ebqev5IkYU,Stimmungsmacher
0JQ5DAqbMKFzHmL4tf05da,Mood,37i9dQZF1DWTvNyxOwkztu,Chillout Lounge
0JQ5DAqbMKFzHmL4tf05da,Mood,37i9dQZF1DX3Ebqev5IkYU,Stimmungsmacher
0JQ5DAqbMKFzHmL4tf05da,Mood,37i9dQZF1DX05r4Oy3Ln97,Summer House 2024
0JQ5DAqbMKFzHmL4tf05da,Mood,37i9dQZF1DWZESE3fHLhmD,Frühlingsgefühle
0JQ5DAqbMKFzHmL4tf05da,Mood,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWZJhOVGWqUKF,Rock Rotation
0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DX4vth7idTQch,Rockhymnen
0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DX7fE85waV8CI,Klare Kante
0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWWGMxzhzY9gE,not just a phase
0JQ5DAqbMKFDXXwE9BDJAr,Rock,37i9dQZF1DWTKihkFkHXam,Alles Rock
0JQ5DAudkNjCgYMM0TZXDw,Charts,37i9dQZEVXbNG2KDcFcKOF,Top Songs - Global
0JQ5DAudkNjCgYMM0TZXDw,Charts,37i9dQZEVXbK8BKKMArIyl,Top Songs - Germany
0JQ5DAudkNjCgYMM0TZXDw,Charts,37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global
0JQ5DAudkNjCgYMM0TZXDw,Charts,37i9dQZEVXbJiZcmkrIHGU,Top 50 - Germany
0JQ5DAudkNjCgYMM0TZXDw,Charts,37i9dQZEVXbLiRSasKsNU9,Viral 50 - Global
0JQ5DAqbMKFIRybaNTYXXy,In the car,37i9dQZF1DX4jP4eebSWR9,Hot Hits Deutschland
0JQ5DAqbMKFIRybaNTYXXy,In the car,37i9dQZF1DX36edUJpD76c,Modus Mio
