song_id,song_artist,song_title,cluster
6df3If2RzcZ0CP79sVEuSe,"Olexesh, Bonez MC",Cabrio,7
3pPMgoouYtezLiBTEeL9be,"FOURTY, Bausa",VEMPA,4
6aCAQmJMBHve3Tfelte1HR,"Dardan, Azet",Pa Mu,8
16f4ZN6XOfrIO8fJkm28HM,"AYLIVA, Apache 207",Wunder,8
5g6kQitL4OSo9tWkWDGkNT,"Celo & Abdi, Summer Cem, Nimo",So So Def (feat. Summer Cem & Nimo),7
0JK2n9ZfIqI4Wb1sctG7po,"Marlo, MERO, Murda",Madness & Badness,7
6lRl37DnoXKNOJTti77tE1,Gzuz,G Wagon,7
3LChzqpjz7F8niPmwuJ6q3,"Luciano, Omah Lay",Another Vibe (feat. Omah Lay),7
7e9nBXpXEI5R8jaP5EXrTA,KALIM,BLICKYS,7
1IncGnjnnKmBkFw0vIf0lV,"Dardan, Azet",Eurosport,4
6I66iJvmOdL5vLhsaRyXqp,"Kianush, YAKARY, PA Sports",10 SEKUNDEN,7
2bcmJLy2ulWs3jkfQBTwhl,Jazeek,Like This,8
6Is9gynDxpWAxDwC1AokLy,reezy,PRETTY LIL SHAWTY,3
4uDyEmWYoyfi2azbGS4IVs,"Paula Hartmann, makko",nimm mit,7
2DwZl2PUk0nMASSRbwYu2E,"CAPO, Summer Cem",JUMPSHOT (feat. Summer Cem),7
0MT2Y0Mvbv5detaaHMM0SK,"Gzuz, LX",Motorsport,1
7ciTcePUxWjBbaouXk7Bvf,"Olexesh, Ataypapi, ilo 7araga",Pistoleta,8
4H1N6Ej2EcgDm58aQIsuvP,"Stickle, Pashanim",Augenmaß (feat. Pashanim),9
27EXNwLk86McXpIr85kvjk,Bobby Vandamme,Walou Diploma,8
0QCNL0DllNbIwdXYppBqH7,HoodBlaq,PANAMERA,8
6xLxMr7gbDdz7VWSx0IBt7,"Jazeek, Milano",Do you lie,7
17OtbhQQ8Udj4NL57cv2mV,Summer Cem,LOWLIFE,8
1myktoEXB1nLGgAIJyOFis,"Ufo361, Monty Datta, Hinshi",UR IN MY HEAD,8
7igSh4nWYQqmv94rIma7eh,YAKARY,Ma Boo,7
4l11vPYTqYrq9wjcO2pHDc,Bobby Vandamme,GOLF R FREESTYLE,7
4cXzOWOwLfGVUOqI8nKQ8L,AK AUSSERKONTROLLE,IN MEINER DNA,9
2mnkgopUgJq09Na8JXgMIh,"Luciano, Mario",Love Ya (feat. Mario),8
0xuaMTaQFsfaLPuMoYUQoP,"Safraoui, HoodBlaq, RAF Camora",MONTENEGRO (feat. RAF Camora),8
1VgoFzUT9iofLfn3rHOI3z,reezy,IN & OUT,8
1IaZUglHDN0kO6yhuyYta2,"Rap La Rue, Haaland936, Amo",Eredivisie,7
4RzIPi5kcw5gYAd07I8NDz,"MADE, SHABAB, Rasa",À la Carte,8
1z60FNfTtizk2N7VGtS1c2,Teven,Etage 4,8
0n3Y03OhVOM23PECUKu2Wm,"Olexesh, ilo 7araga",Motorsport,7
3qIAER5BgecbZHfZmj7RBq,"Peter Fox, reezy",Toast 🍸,9
3uf8kERpUgjU7cOGv1L4r3,Azet,mhm...,7
2pXy4N9nMp5qkvna73rkBp,"BILLA JOE, Faroon",LIVE ON AIR,5
7tIzHYNGyUvZ9zYrND1U0p,Gzuz,Noch ein Glas,7
1TFK9oczePSWgNtWRWlUoI,"Ski Aggu, Marlon Hoffstadt",Balla Balla,4
5ip9eQ3VyleYFDK0ix9b9y,"KALIM, LAYLA",SAVAGE (feat. LAYLA),7
4cdf9VXUzmz6JK7mdZb08k,Jamule,HUNDERTZEHN,8
6n8IoFmVucuWftnyUFcJmb,"Olexesh, Aymen",Mademoiselle,7
7eBo7oeGFWJ9GlL1Me6NuV,Amo,Amo aller Amos,7
45VFwSsxYlqhpwqFfvL6Zh,badmómzjay,ALLES GLÄNZT,8
1TcPzAOy7RjHtLVV2uJgo5,"KALIM, Bawer",5IVE ON IT,7
2XHgNtpQI0xLQzTMMazUsG,"CAPO, Nimo",BEYDA (feat. Nimo),8
7AGtu4Lg1qMeky9XCkWu9h,Samra,Geständnis,7
2IljGIvJWtgjvG4h8WUh8E,Teven,SMS,8
1kQKmatH0qVvnT05kJ0o4d,"Paula Hartmann, Symba",Uludağ und Sorgen,4
7G6CXD57a8mIUFoOrmMhU7,Monet192,Ella,9
2e3bkN2QCScPUnUQiA9ZA4,"Shindy, Shirin David",Affalterbach,7
7zAgHlntQP0x0eDK1VyE9V,"Chapo102, Bausa, Herbert Grönemeyer",Alkohol - #40Bochum,9
6jdhz8yZUNY59PaQ1HsBMq,O.G.,Undercover,9
5ZoQAIGFqYYIi3ehwsmct8,"Haiyti, Trettmann",movie star,1
7vgB6dwgL7HGeMpulW2w46,RAPK,Fieber,0
5VsWmjQcBtbiuopvAWyjYJ,"t-low, Endzone",NO SPECIAL DAY,8
11heKDrARnyTUTqPJ47Xxr,Miami Yacine,CLASSIC,7
4teji8GiIsq5qyM3ho0cYO,"Zuna, Majk",E Jemja,8
73ZyemC3lmQqihd64IPDgt,"PaulK, TRIM, reezy",LASS MICH,8
1piSgt1EMDxoGgRByTngcg,"Ardian Bujupi, L.A.X",Ma Bebe (feat. L.A.X),8
2n9Svm9Y0zSmbzo08U3NCy,"GRiNGO, LX",SLANG MANG,7
2iNNszbdk0nMdVEmZdN8cN,"KARDO, GOTTI, X WAVE",BBL (BROKE),7
0L6q4dE6PCWpPuaOwGuBxe,Kianush,KEIN TON,7
6bBLjMAlMe7v4MO8DNE0ma,"Eli Preiss, Kwam.E",Ohne Dich,4
4mCztg6QKCuUJIsz6uepGP,"Sant, Elias",zu klein,7
1cNaCkEOpWCYqjB41AXwch,AK AUSSERKONTROLLE,WO,7
5TvAx4B21LtPUoP5t5upBI,Samra,Feuer über Deutschland,7
0j4WzFni16kp0YquOHOwL8,Nina Chuba,NINA,4
3sUYdis28691HssQFYUb0J,Nimo,Haram,9
21qAuBs5OboGxmafgFtMBH,Dorian,Criminal,7
24WbDXns1gVnuagvId5TVO,San Andreas,Immer wenn du sagst,8
6YearlKic5bdg3uSbZ6vwD,Miami Yacine,Outro 3000,7
1KqYUtoOOq34KlgHhP1pSt,Florentina,Delulu,8
2gog6LA0qmtYnLOn9lJIil,"102 Boyz, Skoob102, Stacks102, Chapo102",Keine Ahnung,9
3E6v3MJCy4u0t9CcQe1wPy,Zensery,SCHERBEN,7
5P11Hq2LZ2ArnetsepGTqT,"Haaland936, Aymen",Steiniger Weg,7
1Gt4M9aYe7YgFnPhX5v2Yt,Lucio101,NY Freestyle,7
6lU1TaJH55oStIKOjtN0GO,Nibor,Drug Dealer,4
5eLz8tNmhYhsoQXPikiOnO,Asche,Mayhem,7
5eYcqcCAHnL1XFAhfzkj7p,"Delil, VOLO",Dezam,7
5e72ONjfXay39aNscBAQ28,"Trettmann, RIN",Whip,7
1Ub0UvSzsIq1hGj8TULZTf,"moé, SOMA",zugeparkt,7
4UozTqtYZF22YTnCvloI2a,"BOUNTY & COCOA, badmómzjay",FRENCH NAILS (feat. badmómzjay),9
3Nu2D85Uzxssh7tcCtMwYb,Bayor,ICKLIST,4
1kkK6cTHxlRvX86apWIvKy,"MEL, Koushino",Medizin,7
2Nm69unCpDn8qAoKi1m2Ee,Money Boy,Lolli,1
6DidG1r0xh9EuZtCC3Snnq,YFG Pave,Bis ins Grab,4
3euttHt7AiAXhGQuwdYAB3,Lune,Bra Gawra Min,7
67z5TYdeP33tm71EybZZxE,Jaill,Ambassador,7
4pMnZ176A22sWptnk76CMd,"Kalazh44, ROTE MÜTZE RAPHI",Nie mehr verliebt,3
7BPf9eC2c1lSPRyGBySNrt,"Blondee, Sicko, Force",Astronaut,8
7xHsXJT7x3RW94zamTR1Kb,"Souly, Domiziana",Warum immer Ich,4
6DD885nAZ3LNwaIePVgmPU,RUFUZ,SONNE & SCHNEE,9
0UZsZ6BPr4bvY1menn8cTI,Eunique,Ohne Mich,5
3s4Faq9mIWe3VoOeFfTDlU,BAZU,Freestyler V3,8
43qswkwUnVZ3k6T3OqPaOF,Morpheuz,Geile Zeit,8
79rsvFNz3COzGiodEBTQ36,Aylo,Keine Angst,8
7GIHhuHDlRab6yKyjPARcX,Rubi,WASSEREIS,8
740Bg9OUbQWePvtG6d266v,"Mufasa069, Ramo",Real,7
65JZvdxLYpHqHCXGaMOiCN,"OG LU, Japo, overshiaat",Bela & Fitna,7
20SfMcApEhfX0Xyq481hvU,"Moop Mama, Älice",Nie Wieder,5
3EwIXZhynD34yvQckm3oNK,YBRE,tut mir leid,8
0pSf4WmJYWzX6PKwyH8cdg,Charisma,Honey,9
75ch4rczvMErzAowBSPaFd,Sadi,Verdient,8
3uFEzTqpY082PEzt4Ks1QC,"ZAVET, Fewtile",Für Nichts,8
4oTrcjn08jBFben4O2Am2Q,Elly,Whiplash,8
6p5snXqHBtG6rjO7bwiGZT,"Rap La Rue, Amo, Kauta, Haaland936","Baile (feat. Amo, Haaland936 & Kauta)",8
4jhQOtHfWQq6GYkhvsAkOq,Nimo,Wie beim ersten Mal,8
1EypcNrXUoHSv6siw5FNPi,"Rap La Rue, Jiyo, ilo 7araga, Aymen","Substanzen (feat. Aymen, Jiyo & ilo 7araga)",8
5k3I3hb3ouwr1ttrjxE13x,Ardian Bujupi,Paparazzi,8
